"n_simul","n_vars","prop_censored","target_R2_C","censoring_threshold","mixture_T","mixture_T_type","mixture_T_n_groups","type_pred","algo","type_w","minleaf","maxdepth","max_w_mod","mean_R2","sd_R2","mean_Kendall","sd_Kendall","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2","mean_mse","sd_mse","mean_KM_mse","sd_KM_mse","mean_Cox_mse","sd_Cox_mse","mean_RSF_mse","sd_RSF_mse","mean_R2_20","sd_R2_20","mean_Kendall_20","sd_Kendall_20"
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_gam","KM",NA,NA,10,0.00876,0.01836,0.53392,0.01912,0.53415,0.0193,0.01111,0.01879,0.00862,0.01929,0.00954,0.01822,12014.69676,2387.66477,11860.31568,2484.55798,11748.96807,2459.99811,11696.26196,2439.91863,0.08105,0.2179,0.6339,0.07217
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_gam","KM",NA,NA,50,0.00876,0.01836,0.53392,0.01912,0.53415,0.0193,0.01111,0.01879,0.00862,0.01929,0.00954,0.01822,12014.69676,2387.66477,11860.31568,2484.55798,11748.96807,2459.99811,11696.26196,2439.91863,0.08105,0.2179,0.6339,0.07217
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_gam","RSF",NA,NA,10,0.01039,0.01773,0.53491,0.01884,0.53519,0.01897,0.01123,0.01841,0.01018,0.01846,0.01071,0.01753,11995.59726,2388.92499,11858.85019,2486.12995,11730.73207,2458.80757,11682.67469,2439.45859,0.09671,0.21528,0.63685,0.07097
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_gam","RSF",NA,NA,50,0.01039,0.01773,0.53491,0.01884,0.53519,0.01897,0.01123,0.01841,0.01018,0.01846,0.01071,0.01753,11995.59726,2388.92499,11858.85019,2486.12995,11730.73207,2458.80757,11682.67469,2439.45859,0.09671,0.21528,0.63685,0.07097
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"rsf_reg",NA,50,4,NA,0.00969,0.0151,0.53571,0.01817,0.53604,0.01826,0.00959,0.01531,0.00888,0.0155,0.00937,0.01509,12001.83507,2381.43446,11873.24246,2465.235,11739.83209,2430.58151,11692.64095,2415.65692,0.13376,0.14568,0.63846,0.06808
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"cox_reg",NA,NA,NA,NA,0.00775,0.01994,0.53592,0.01868,0.5362,0.01891,0.0076,0.02028,0.00689,0.02074,0.00741,0.01983,12021.16996,2367.70836,11894.76434,2462.6013,11761.65813,2431.76434,11714.25786,2415.37478,0.11185,0.22305,0.64498,0.07125
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","Cox",50,4,10,-0.00811,0.02541,0.5314,0.017,0.53253,0.01855,-0.01427,0.0332,-0.01601,0.03609,-0.01682,0.03451,12289.27032,2382.50665,11632.40327,2715.4006,11253.74276,2694.63806,11027.05463,2450.814,0.02285,0.13321,0.59995,0.05664
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","Cox",50,4,50,-0.00728,0.02501,0.53204,0.01746,0.53312,0.01926,-0.01282,0.03248,-0.01449,0.03544,-0.0157,0.03321,12280.86533,2389.11862,11619.47707,2728.07791,11237.90958,2689.95351,11018.08444,2462.71415,0.02982,0.12574,0.59847,0.06277
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","KM",50,4,10,-0.00794,0.02527,0.53153,0.01778,0.5324,0.01961,-0.01284,0.03259,-0.0153,0.03539,-0.01594,0.03336,12288.49625,2388.73078,11616.95599,2714.63277,11248.03594,2702.5169,11020.33605,2462.21877,0.02462,0.13073,0.59745,0.05506
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","KM",50,4,50,-0.00756,0.02544,0.5316,0.01759,0.53262,0.01948,-0.01234,0.03305,-0.01467,0.03574,-0.01558,0.03394,12283.08778,2382.62258,11611.71492,2714.36174,11241.46369,2697.30595,11016.24089,2458.79132,0.02546,0.13506,0.60016,0.05994
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","Cox",50,4,10,-0.00731,0.01951,0.52907,0.0164,0.53024,0.01827,-0.00595,0.0263,-0.00687,0.02571,-0.00749,0.02614,12297.94791,2472.59692,11571.29903,2834.8057,11192.38687,2835.73809,10961.14411,2585.12454,-0.20485,0.17896,0.58851,0.05979
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","Cox",50,4,50,-0.00657,0.0193,0.52924,0.01662,0.53027,0.01863,-0.00504,0.02581,-0.00553,0.02551,-0.00657,0.02526,12290.24867,2477.40074,11563.82611,2844.89387,11177.29224,2826.44829,10953.89155,2594.93921,-0.19053,0.18731,0.58929,0.06122
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","KM",50,4,10,-0.00942,0.02158,0.52754,0.01669,0.52823,0.01887,-0.00569,0.02797,-0.00921,0.02793,-0.00893,0.02768,12322.26552,2470.65578,11563.91406,2817.0724,11213.24873,2819.42185,10974.63953,2582.38778,-0.22156,0.18596,0.57762,0.05857
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","KM",50,4,50,-0.00907,0.0221,0.5279,0.01681,0.52889,0.01916,-0.00548,0.02859,-0.00912,0.02848,-0.00859,0.02891,12318.50604,2473.77145,11566.69468,2837.22149,11219.99198,2853.60393,10974.3808,2594.08676,-0.21906,0.20582,0.57937,0.06026
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,NA,"RF_bench",NA,50,4,NA,0.01486,0.01545,0.53654,0.0179,0.53724,0.02005,0.01221,0.02083,0.01206,0.02146,0.01209,0.01978,12025.9928,2415.28979,11356.38344,2748.30218,10974.86136,2747.63531,10742.15754,2498.02449,-0.00433,0.13831,0.60882,0.06105
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,NA,"w_RF1","Cox",50,4,10,0.00403,0.0145,0.5278,0.01603,0.52861,0.01802,0.00329,0.02034,0.00336,0.02093,0.00282,0.01967,12162.17763,2459.11019,11467.2435,2820.15925,11077.62885,2798.01791,10850.34596,2562.21595,-0.09981,0.15405,0.58742,0.05863
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,NA,"w_RF1","Cox",50,4,50,0.00392,0.01467,0.52746,0.01604,0.52828,0.01811,0.00328,0.02093,0.00312,0.02188,0.00264,0.02041,12162.66512,2458.15149,11465.80384,2813.46015,11078.07547,2791.92662,10850.88906,2561.40754,-0.10791,0.16779,0.58669,0.0568
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,NA,"w_RF1","KM",50,4,10,0.00132,0.01557,0.52633,0.01594,0.52703,0.01752,0.00441,0.02206,0.00074,0.02243,0.00148,0.02115,12192.81622,2457.40271,11449.3922,2795.01974,11102.65522,2791.15925,10860.52178,2548.93157,-0.12808,0.1679,0.57494,0.05587
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,NA,"w_RF1","KM",50,4,50,0.00143,0.01633,0.52602,0.01615,0.52672,0.01786,0.00411,0.02249,0.00042,0.02275,0.0011,0.02185,12191.26295,2455.2071,11452.12439,2791.69433,11105.82123,2787.16558,10864.36847,2545.52986,-0.11516,0.17578,0.57339,0.06091
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,NA,"w_RF1","RSF",50,4,10,0.00423,0.01435,0.5279,0.01645,0.52884,0.01843,0.00482,0.02001,0.004,0.02067,0.00366,0.01912,12159.41497,2461.80436,11446.49139,2799.77301,11067.07811,2780.33151,10837.70669,2542.80157,-0.10321,0.16731,0.58477,0.06209
2000,6,0.3,0.05,1000,TRUE,"dependant",NA,NA,"w_RF1","RSF",50,4,50,0.00483,0.01425,0.52806,0.01621,0.52886,0.01827,0.00572,0.02002,0.00507,0.02099,0.00474,0.01946,12151.75714,2458.52307,11435.99568,2798.70627,11053.56,2768.69711,10825.2442,2540.51445,-0.10581,0.15095,0.5795,0.05936
